"","Year","Illnesses","Hospitalizations","Fatalities","status","month","state","location","species","ingredient","serotype.Genotype","food"
"353",1998,71,2,0,1,4,9,5,7,6,9,170
"354",1998,33,0.94752807538402,0,1,4,9,1,7,6,9,37
"355",1998,3,0.94752807538402,0.0217167160716587,1,4,10,1,7,6,9,15
"356",1998,4,0.94752807538402,0.0217167160716587,1,4,10,1,7,6,9,171
"357",1998,5,0.94752807538402,0.0217167160716587,1,4,10,14,7,6,9,43
"358",1998,4,0.94752807538402,0.0217167160716587,1,4,10,1,7,6,9,42
"359",1998,2,0.94752807538402,0.0217167160716587,1,4,10,5,7,6,9,172
"360",1998,25,0.94752807538402,0.0217167160716587,1,4,10,5,9,6,9,138
"361",1998,7,0.94752807538402,0.0217167160716587,1,4,10,1,7,6,9,173
"362",1998,4,0,0,1,4,10,1,7,6,9,16
"363",1998,2,0,0,1,4,10,1,7,6,9,174
"364",1998,18,0,0,1,4,10,1,7,6,9,175
"365",1998,15,0,0,1,4,10,1,7,6,9,176
"366",1998,18,0,0,2,4,11,9,20,6,9,37
"367",1998,14,0,0,1,4,11,7,7,6,9,37
"368",1998,5,0,0,2,4,11,1,9,6,9,10
"369",1998,209,47,0.0217167160716587,1,4,12,1,3,5,13,177
"370",1998,12,0,0,2,4,13,16,6,6,9,178
"371",1998,5,2,0,1,4,13,1,21,6,9,151
"372",1998,18,0,0,2,4,13,1,6,6,9,179
"373",1998,16,0,0,1,4,13,1,7,6,9,142
"374",1998,12,0.94752807538402,0.0217167160716587,1,4,13,16,7,6,9,37
"375",1998,2,0,0,1,4,15,1,7,6,9,37
"376",1998,2,0,0,1,4,15,1,7,6,9,37
"377",1998,4,0,0,1,4,15,1,7,6,9,180
"378",1998,5,0,0,1,4,15,1,7,6,9,42
"379",1998,2,0,0,1,4,15,1,9,6,9,181
"380",1998,3,0,0,1,4,15,1,7,6,9,37
"381",1998,4,1,0,1,4,15,1,7,6,9,37
"382",1998,800,4,0,1,4,15,1,7,6,9,182
"383",1998,2,0,0,1,4,15,1,7,6,9,183
"384",1998,4,0.94752807538402,0,1,4,15,1,7,6,9,184
"385",1998,2,0,0,1,4,15,1,7,6,9,185
"386",1998,16,0,0,1,4,16,1,7,6,9,186
"387",1998,20,0,0,1,4,17,5,7,6,9,37
"388",1998,3,0.94752807538402,0.0217167160716587,1,4,17,1,6,6,9,37
"389",1998,5,0,0,1,4,17,1,7,6,9,37
"390",1998,21,0,0,1,4,17,1,7,6,9,187
"391",1998,18,0.94752807538402,0.0217167160716587,2,4,18,1,22,6,9,37
"392",1998,15,0.94752807538402,0.0217167160716587,1,4,18,1,7,6,9,188
"393",1998,2,0.94752807538402,0.0217167160716587,1,4,18,1,7,6,9,37
"394",1998,22,2,0,1,4,31,1,3,6,2,189
