"","Illnesses","Hospitalizations","Fatalities","location","food","species","month","state","ingredient"
"346",3,0.905161734342739,0.0187628865979381,1,42,7,4,8,6
"347",5,0.905161734342739,0.0187628865979381,1,37,7,4,8,6
"348",2,0.905161734342739,0.0187628865979381,1,168,7,4,8,6
"349",32,0.905161734342739,0.0187628865979381,4,169,7,4,8,6
"350",6,0.905161734342739,0.0187628865979381,1,37,7,4,8,6
"351",3,0.905161734342739,0.0187628865979381,1,37,7,4,8,6
"352",71,2,0,5,170,7,4,9,6
"353",33,0.905161734342739,0,1,37,7,4,9,6
"354",3,0.905161734342739,0.0187628865979381,1,15,7,4,10,6
"355",4,0.905161734342739,0.0187628865979381,1,171,7,4,10,6
"356",5,0.905161734342739,0.0187628865979381,14,43,7,4,10,6
"357",4,0.905161734342739,0.0187628865979381,1,42,7,4,10,6
"358",2,0.905161734342739,0.0187628865979381,5,172,7,4,10,6
"359",25,0.905161734342739,0.0187628865979381,5,138,9,4,10,6
"360",7,0.905161734342739,0.0187628865979381,1,173,7,4,10,6
"361",4,0,0,1,16,7,4,10,6
"362",2,0,0,1,174,7,4,10,6
"363",18,0,0,1,175,7,4,10,6
"364",15,0,0,1,176,7,4,10,6
"365",18,0,0,9,37,19,4,11,6
"366",14,0,0,7,37,7,4,11,6
"367",5,0,0,1,10,9,4,11,6
"368",209,47,0.0187628865979381,1,177,3,4,12,5
"369",12,0,0,16,178,6,4,13,6
"370",18,0,0,1,179,6,4,13,6
"371",16,0,0,1,142,7,4,13,6
"372",12,0.905161734342739,0.0187628865979381,16,37,7,4,13,6
"373",2,0,0,1,37,7,4,15,6
"374",2,0,0,1,37,7,4,15,6
"375",4,0,0,1,180,7,4,15,6
"376",5,0,0,1,42,7,4,15,6
"377",2,0,0,1,181,9,4,15,6
"378",3,0,0,1,37,7,4,15,6
"379",4,1,0,1,37,7,4,15,6
"380",800,4,0,1,182,7,4,15,6
"381",2,0,0,1,183,7,4,15,6
"382",4,0.905161734342739,0,1,184,7,4,15,6
"383",2,0,0,1,185,7,4,15,6
"384",16,0,0,1,186,7,4,16,6
"385",20,0,0,5,37,7,4,17,6
"386",3,0.905161734342739,0.0187628865979381,1,37,6,4,17,6
"387",5,0,0,1,37,7,4,17,6
"388",21,0,0,1,187,7,4,17,6
"389",18,0.905161734342739,0.0187628865979381,1,37,20,4,18,6
"390",15,0.905161734342739,0.0187628865979381,1,188,7,4,18,6
"391",2,0.905161734342739,0.0187628865979381,1,37,7,4,18,6
"392",22,2,0,1,189,3,4,31,6
"393",6,0.905161734342739,0.0187628865979381,1,147,2,4,19,6
"394",67,0.905161734342739,0.0187628865979381,1,6,7,4,19,6
"395",9,0.905161734342739,0,5,190,3,4,19,6
"396",27,0.905161734342739,0.0187628865979381,10,37,7,4,20,6
"397",3,0,0,3,191,21,4,20,6
"398",2,0,0,1,37,7,4,20,6
"399",2,0,0,1,37,7,4,20,6
"400",8,0,0,1,37,7,4,20,6
"401",5,0,0,1,192,7,4,20,6
"402",22,1,0,1,37,7,4,21,6
"403",13,0,0,1,37,7,4,21,6
"404",38,0.905161734342739,0.0187628865979381,5,37,5,5,1,6
"405",100,0.905161734342739,0.0187628865979381,1,193,7,5,1,6
"406",40,0.905161734342739,0.0187628865979381,1,37,7,5,1,6
"407",6,3,0,1,37,3,5,1,6
"408",31,0,0,1,37,7,5,1,6
"409",6,0,0,1,37,7,5,1,6
"410",13,0,0,3,37,7,5,1,6
"411",8,0,0,3,194,12,5,1,6
"412",3,1,0,1,37,22,5,1,6
"413",30,0,0,3,195,7,5,1,6
"414",10,0,0,3,37,7,5,1,6
"415",16,0,0,5,37,7,5,1,6
"416",15,0,0,3,37,7,5,1,6
"417",16,0,0,3,195,7,5,1,6
"418",61,0,0,1,37,7,5,1,6
"419",5,0,0,1,191,7,5,1,6
